year,Datetime,q_05,q_15,q_25,q_35,q_5,q_65,q_75,q_85,q_95,actual
80,16/07/2019 15:30,37.65881729,42.25603104,39.37865067,41.15409088,44.28044128,42.44002533,51.10750961,51.67826843,65.30692291,57.45
81,16/07/2019 16:00,39.84967804,44.45258713,41.27764511,44.15987015,47.26871872,46.04898834,54.04696655,54.84521866,69.12870026,59.9
82,16/07/2019 16:30,41.4946022,45.80667877,42.44620132,45.80170059,49.69225693,48.30710983,55.55094528,56.29576874,71.20357513,60.425
83,16/07/2019 17:00,42.48976898,46.51090622,42.96444321,46.36145401,51.11860657,49.4839592,55.92618179,56.39554977,71.94337463,60.95
84,16/07/2019 17:30,42.95381927,46.59375381,42.84031677,46.20665359,51.26060104,49.82126236,55.44340515,55.49704742,71.51724243,60.855
85,16/07/2019 18:00,42.83466721,45.95994568,42.0025177,45.59666061,50.51752472,49.40863419,54.0839386,53.93838882,69.82059479,60.76
86,16/07/2019 18:30,41.89174271,44.65903091,40.61153412,44.5097847,49.29733276,48.22369766,52.07142639,52.04057312,66.38687134,57.88
87,16/07/2019 19:00,40.32278442,42.95150757,39.14937592,42.62239456,47.79449463,46.24351883,50.57805252,49.77045059,60.87195587,55
88,16/07/2019 19:30,38.56329727,41.1073761,37.78062057,40.2537117,45.98974609,43.91814423,47.98736191,46.87106323,55.15091324,54.36
89,16/07/2019 20:00,36.86654282,39.43790054,36.51633835,38.46163177,43.64905167,41.76532745,44.46072006,44.29942322,51.50070572,53.72
90,16/07/2019 20:30,35.30914688,38.07949829,35.45925522,37.38879013,40.98029327,39.71937943,41.62328339,42.73215866,49.36618042,49.32
91,16/07/2019 21:00,33.89315033,36.92621613,34.63157272,36.65815735,38.92136383,38.3204689,39.57624817,41.68585587,47.64385223,44.92
92,16/07/2019 21:30,32.59436417,35.83336639,33.9514122,36.00704193,37.68385315,37.60478592,38.13770294,40.69380569,45.75777817,47.435
93,16/07/2019 22:00,31.37303543,34.72531891,33.31786728,35.30461884,36.7245903,36.95634842,36.9699707,39.47448349,43.59473801,49.95
94,16/07/2019 22:30,30.17248917,33.58666611,32.64599609,34.46305847,35.6934967,35.95799255,35.86244965,37.83469772,41.34648895,43.775
95,16/07/2019 23:00,28.91946983,32.41583633,31.85647392,33.39910507,34.56274796,34.60942078,34.719841,35.79007339,39.30490494,37.6
96,16/07/2019 23:30,27.53872871,31.19872665,30.8691082,32.09503174,33.46852875,33.2855835,33.54005814,33.84202957,37.65606308,37.275
97,17/07/2019 00:00,26.18160057,27.68833351,30.3530941,31.22172737,31.3178463,33.10853958,35.16137314,34.43639374,40.28403473,36.95
98,17/07/2019 00:30,25.38408852,27.26063538,29.38168526,30.29593658,31.98820877,32.96129227,33.15271378,32.88115692,37.78628922,36.605
99,17/07/2019 01:00,24.31259727,26.54016304,28.52226639,29.58950996,31.99039268,32.6280899,31.69934082,31.93003273,36.11855316,36.26
100,17/07/2019 01:30,23.55436516,25.95550346,27.83062172,29.16863251,31.98496056,32.19116974,30.99151993,31.70227814,35.34511185,35.74
101,17/07/2019 02:00,23.3026619,25.71964645,27.46629524,29.13561249,31.95966148,31.90578079,30.89844894,32.16269302,35.31216812,35.22
102,17/07/2019 02:30,23.63097382,26.09892082,27.64842796,29.49324036,32.0278244,31.947752,31.29215431,33.14421844,35.87696838,35.78
103,17/07/2019 03:00,24.57364464,27.38685608,28.75761032,30.34854698,32.37441635,32.5057869,32.22291565,34.53510666,36.96041107,36.34
104,17/07/2019 03:30,26.1250782,29.73536491,31.13473511,31.88453484,33.24888229,33.97133255,33.79963684,36.21124649,38.41177368,38.49
105,17/07/2019 04:00,28.18432045,32.78836441,34.2623024,34.14034653,34.80150223,36.41665649,36.05015182,38.08916855,40.11396408,40.64
106,17/07/2019 04:30,30.50091743,35.85298538,36.88308334,36.62772751,36.80325317,38.91023254,38.73673248,40.13381195,42.12577438,43.84
107,17/07/2019 05:00,32.76160049,38.43374252,38.71025467,38.71946716,38.89785004,40.84807968,41.35461044,42.328022,44.60836029,47.04
108,17/07/2019 05:30,34.75756454,40.65604019,40.27669525,40.47452545,41.02787018,42.5579071,43.82534027,44.63362885,47.6284256,49.41
109,17/07/2019 06:00,36.43159103,42.65138626,42.29966736,42.20765686,43.30220032,44.69108963,46.69220734,47.12404633,51.1437912,51.78
110,17/07/2019 06:30,37.812603,44.26005554,45.3741188,44.07453156,45.72163773,47.73706055,50.39131927,49.90911865,55.25611115,54.64
111,17/07/2019 07:00,38.95231247,45.25462341,48.34896469,46.20114136,48.0453949,50.87566757,53.63747025,52.89783859,60.14413834,57.5
112,17/07/2019 07:30,39.88941956,45.42314911,49.27472687,48.09658432,49.53486633,52.12063599,54.85838318,55.46736145,63.10443497,56.715
113,17/07/2019 08:00,40.56490707,44.54030991,48.17731857,48.20414734,49.229599,51.0240097,54.32362747,55.34754181,62.73181534,55.93
114,17/07/2019 08:30,40.61947632,42.77859497,46.16258621,46.50989914,47.27534103,49.14796448,52.46009445,53.02861404,61.57982635,50.44
115,17/07/2019 09:00,39.78676224,40.83847427,44.06928253,44.27929306,44.96805191,47.55214691,49.84548569,51.32131577,60.22124863,44.95
116,17/07/2019 09:30,38.60404587,39.32459259,42.1944809,42.18992615,43.19614792,46.15055466,47.40919113,50.11965179,58.7148819,43.39
117,17/07/2019 10:00,37.49182892,38.31422424,40.62148666,40.30624771,41.89086151,44.68627167,45.56034851,49.02576828,57.0698967,41.83
118,17/07/2019 10:30,36.49562454,37.60438156,39.31532669,38.62306976,40.76037598,43.01333237,44.1414299,47.82300568,55.26451111,40.965
119,17/07/2019 11:00,35.59465408,37.03293991,38.19094086,37.16486359,39.65156555,41.16245651,42.93588638,46.36633301,53.29006958,40.1
120,17/07/2019 11:30,34.79369736,36.53705215,37.17540741,35.94861603,38.53438187,39.34156036,41.84278107,44.54956055,51.21515274,38.805
121,17/07/2019 12:00,34.12282944,36.11563492,36.23158264,34.97341919,37.44213104,37.7674942,40.85752869,42.37102509,49.19749451,37.51
122,17/07/2019 12:30,33.62748337,35.79624939,35.36842346,34.23511124,36.43842697,36.5238533,40.03627396,40.08823776,47.4147377,37.52
123,17/07/2019 13:00,33.36321259,35.62529755,34.65976334,33.74873352,35.630867,35.61072922,39.47204971,38.26737213,46.0376091,37.53
124,17/07/2019 13:30,33.40158844,35.68876648,34.29193878,33.58280945,35.24924088,35.08797836,39.30020142,37.52866745,45.44065475,38.02
125,17/07/2019 14:00,33.85562897,36.20745087,34.6010704,33.95205307,35.76182175,35.27601624,39.79880905,38.36930084,46.67679214,38.51
126,17/07/2019 14:30,34.913517,37.79296112,35.89129639,35.4677887,37.74733734,36.87269592,41.56480789,41.28273773,50.95357895,41.475
127,17/07/2019 15:00,36.78085709,40.99394989,38.04623413,38.84536743,41.007164,40.14651489,45.03159332,45.76773071,56.53233719,44.44
128,17/07/2019 15:30,39.38712311,44.3131485,40.48366165,42.74628067,44.47619629,43.95776367,49.1612587,49.76100922,60.65643692,46.385
129,17/07/2019 16:00,42.18697357,46.53117752,42.45107269,45.36054611,47.59954834,46.89457703,52.26062393,52.20962143,63.00621033,48.33
130,17/07/2019 16:30,44.57467651,47.93793869,43.62892532,46.70827866,49.97789383,48.78209686,53.85455704,53.34606171,64.0929184,49.265
131,17/07/2019 17:00,46.22109985,48.86306763,44.12037659,47.24669647,51.04584122,49.78639221,54.23686218,53.52123642,64.31271362,50.2
132,17/07/2019 17:30,46.9582634,49.26263809,43.9585495,47.15306473,50.94615936,49.76875687,53.534832,52.92313004,63.85756683,50.58
133,17/07/2019 18:00,46.64209366,48.76140594,43.0352211,46.39339447,50.14849854,48.57201385,51.96302032,51.69716263,62.67172623,50.96
134,17/07/2019 18:30,45.13894272,47.09703827,41.52853394,44.94111252,48.86175919,46.49003983,50.63098526,50.04528809,60.55380249,49.48
135,17/07/2019 19:00,42.93083572,44.62416077,39.94904327,42.83773804,47.13078308,44.28215408,48.94179535,48.09511948,57.76168823,48
136,17/07/2019 19:30,40.78384781,42.16038895,38.51285934,40.70463181,45.01472473,42.33934021,45.90472031,45.93405533,54.99147034,47.44
137,17/07/2019 20:00,38.98575592,40.23314667,37.26290894,39.20156479,42.58189774,40.41859055,43.74740982,44.0064888,52.83015442,46.88
138,17/07/2019 20:30,37.4786377,38.76601028,36.25344086,38.25829315,40.2864418,38.92426682,42.23783493,42.65408707,51.25610352,44.62
139,17/07/2019 21:00,36.15330124,37.51543427,35.46171188,37.56123734,38.69742966,38.14521027,41.0190506,41.64170456,49.83715439,42.36
140,17/07/2019 21:30,34.9269371,36.34427261,34.7997818,36.90674591,37.69443893,37.63961411,39.8343277,40.6121788,48.23551178,42.13
141,17/07/2019 22:00,33.72872925,35.21214676,34.1772728,36.18721771,36.82912827,36.99399567,38.56362534,39.30614853,46.27261353,41.9
142,17/07/2019 22:30,32.48581314,34.10305786,33.52031326,35.32063293,35.85711288,36.02700806,37.16246796,37.55467224,43.94286728,39.355
